UserMail,ExperimentNo,SampleNo,One,Two,TimeSeconds,Additional
user1,4,0,0,1,77,0
user1,4,1,2,2,20,0
user1,4,2,0,2,13,0
user1,4,3,1,1,33,0
user1,4,4,2,0,58,0
user1,4,5,1,2,20,0
user1,4,6,1,2,14,0
user1,4,7,1,2,34,0
user1,4,8,1,1,29,0
user1,4,9,0,2,36,0
user1,4,10,1,2,59,0
user1,4,11,1,0,49,0
user1,4,12,0,1,16,0
user1,4,13,2,2,27,0
user1,4,14,2,0,49,0
user1,4,15,0,1,28,0
user1,4,16,1,0,38,0
user1,4,17,0,1,22,0
user1,4,18,0,0,10,0
user1,4,19,1,0,23,0
user1,4,20,0,2,16,0
user1,4,21,1,2,58,0
user1,4,22,0,2,19,0
user1,4,23,0,2,19,0
user1,4,24,2,0,33,0
user4,4,0,0,1,64,0
user4,4,1,2,1,16,0
user4,4,2,0,1,28,0
user4,4,3,2,1,40,0
user4,4,4,0,1,33,0
user4,4,5,2,1,18,0
user4,4,6,0,1,28,0
user4,4,7,0,1,15,0
user4,4,8,0,1,20,0
user4,4,9,0,1,13,0
user4,4,10,2,1,20,0
user4,4,11,2,1,21,0
user4,4,12,0,0,21,0
user4,4,13,2,1,12,0
user4,4,14,2,0,22,0
user4,4,15,0,1,31,0
user4,4,16,0,0,31,0
user4,4,17,0,0,18,0
user4,4,18,0,1,37,0
user4,4,19,2,1,31,0
user4,4,20,0,1,19,0
user4,4,21,0,1,35,0
user4,4,22,0,1,15,0
user4,4,23,0,1,18,0
user4,4,24,2,1,17,0
user6,4,0,0,1,8,0
user6,4,1,2,2,21,0
user6,4,2,0,2,9,0
user6,4,3,0,1,170,0
user6,4,4,1,1,11,0
user6,4,5,0,1,11,0
user6,4,6,1,1,66,0
user6,4,7,1,1,12,0
user6,4,8,0,0,60,0
user6,4,9,1,1,14,0
user6,4,10,0,2,17,0
user6,4,11,2,1,31,0
user6,4,12,0,1,13,0
user6,4,13,2,1,17,0
user6,4,14,0,1,11,0
user6,4,15,2,2,39,0
user6,4,16,2,0,105,0
user6,4,17,0,1,7,0
user6,4,18,0,0,47,0
user6,4,19,1,1,15,0
user6,4,20,0,2,103,0
user6,4,21,2,1,19,0
user6,4,22,0,1,12,0
user6,4,23,1,1,9,0
user6,4,24,0,1,167,0
user8,4,0,0,1,11,0
user8,4,1,0,1,9,0
user8,4,2,0,0,14,0
user8,4,3,2,1,112,0
user8,4,4,0,1,23,0
user8,4,5,2,1,15,0
user8,4,6,0,0,17,0
user8,4,7,0,2,35,0
user8,4,8,0,1,16,0
user8,4,9,2,1,12,0
user8,4,10,0,0,32,0
user8,4,11,2,2,27,0
user8,4,12,0,1,14,0
user8,4,13,2,1,18,0
user8,4,14,0,1,40,0
user8,4,15,0,1,16,0
user8,4,16,0,1,458,0
user8,4,17,0,1,14,0
user8,4,18,0,1,14,0
user8,4,19,2,1,86,0
user8,4,20,0,2,115,0
user8,4,21,0,1,88,0
user8,4,22,0,1,15,0
user8,4,23,2,2,32,0
user8,4,24,2,1,15,0
user9,4,0,0,1,474,0
user9,4,1,0,0,189,0
user9,4,2,0,2,108,0
user9,4,3,2,2,105,0
user9,4,4,0,1,122,0
user9,4,5,1,2,105,0
user9,4,6,1,1,53,0
user9,4,7,0,0,143,0
user9,4,8,1,1,64,0
user9,4,9,1,0,63,0
user9,4,10,2,0,196,0
user9,4,11,1,0,93,0
user9,4,12,1,2,48,0
user9,4,13,2,2,65,0
user9,4,14,0,1,1417,0
user9,4,15,1,0,76,0
user9,4,16,0,0,89,0
user9,4,17,0,1,60,0
user9,4,18,2,1,1465,0
user9,4,19,0,0,73,0
user9,4,20,0,1,100,0
user9,4,21,1,1,129,0
user9,4,22,0,2,67,0
user9,4,23,1,2,1091,0
user9,4,24,2,2,80,0
user10,4,0,2,2,11,0
user10,4,1,1,1,8,0
user10,4,2,2,2,26,0
user10,4,3,1,1,7,0
user10,4,4,1,1,10,0
user10,4,5,2,2,134,0
user10,4,6,2,2,48,0
user10,4,7,1,1,7,0
user10,4,8,1,1,11,0
user10,4,9,1,1,6,0
user10,4,10,2,2,285,0
user10,4,11,1,1,14,0
user10,4,12,0,1,10,0
user10,4,13,2,2,9,0
user10,4,14,1,1,14,0
user10,4,15,0,0,375,0
user10,4,16,1,0,15,0
user10,4,17,0,2,12,0
user10,4,18,1,1,8,0
user10,4,19,1,1,10,0
user10,4,20,1,1,13,0
user10,4,21,0,0,7,0
user10,4,22,0,2,16,0
user10,4,23,2,2,10,0
user10,4,24,1,1,11,0
user12,4,0,0,1,25,0
user12,4,1,0,0,13,0
user12,4,2,0,1,20,0
user12,4,3,2,2,22,0
user12,4,4,2,1,35,0
user12,4,5,0,2,63,0
user12,4,6,0,1,20,0
user12,4,7,0,1,17,0
user12,4,8,2,1,37,0
user12,4,9,0,0,19,0
user12,4,10,2,1,15,0
user12,4,11,1,1,48,0
user12,4,12,0,1,13,0
user12,4,13,0,0,31,0
user12,4,14,2,0,26,0
user12,4,15,1,1,19,0
user12,4,16,0,0,40,0
user12,4,17,0,1,24,0
user12,4,18,0,1,26,0
user12,4,19,0,0,43,0
user12,4,20,1,1,21,0
user12,4,21,1,1,45,0
user12,4,22,0,2,12,0
user12,4,23,0,2,72,0
user12,4,24,2,1,11,0
user15,4,0,1,2,14,0
user15,4,1,1,0,14,0
user15,4,2,1,2,15,0
user15,4,3,1,1,15,0
user15,4,4,1,0,18,0
user15,4,5,1,2,8,0
user15,4,6,1,1,26,0
user15,4,7,2,2,22,0
user15,4,8,0,0,11,0
user15,4,9,0,2,27,0
user15,4,10,1,0,33,0
user15,4,11,1,0,11,0
user15,4,12,0,0,33,0
user15,4,13,2,0,23,0
user15,4,14,2,1,21,0
user15,4,15,1,0,23,0
user15,4,16,1,0,17,0
user15,4,17,0,0,17,0
user15,4,18,1,0,12,0
user15,4,19,2,0,28,0
user15,4,20,1,2,11,0
user15,4,21,1,1,15,0
user15,4,22,0,2,29,0
user15,4,23,1,2,14,0
user15,4,24,1,2,20,0
user17,4,0,1,2,15,0
user17,4,1,0,2,25,0
user17,4,2,0,2,13,0
user17,4,3,1,1,20,0
user17,4,4,2,0,26,0
user17,4,5,0,2,189,0
user17,4,6,0,1,12,0
user17,4,7,0,2,13,0
user17,4,8,1,0,20,0
user17,4,9,1,2,16,0
user17,4,10,2,2,25,0
user17,4,11,2,0,21,0
user17,4,12,0,2,21,0
user17,4,13,1,1,26,0
user17,4,14,2,0,36,0
user17,4,15,1,1,20,0
user17,4,16,0,0,21,0
user17,4,17,0,2,16,0
user17,4,18,2,0,17,0
user17,4,19,1,0,14,0
user17,4,20,1,2,14,0
user17,4,21,1,2,22,0
user17,4,22,0,2,16,0
user17,4,23,1,2,63,0
user17,4,24,1,0,25,0
user20,4,0,1,2,48,0
user20,4,1,2,2,17,0
user20,4,2,0,2,34,0
user20,4,3,1,2,81,0
user20,4,4,1,0,42,0
user20,4,5,1,2,27,0
user20,4,6,0,1,35,0
user20,4,7,1,2,28,0
user20,4,8,0,0,17,0
user20,4,9,1,2,43,0
user20,4,10,1,2,27,0
user20,4,11,2,0,22,0
user20,4,12,0,2,46,0
user20,4,13,2,1,33,0
user20,4,14,2,0,37,0
user20,4,15,0,1,66,0
user20,4,16,0,0,27,0
user20,4,17,0,2,23,0
user20,4,18,0,0,37,0
user20,4,19,1,0,40,0
user20,4,20,1,2,27,0
user20,4,21,2,2,30,0
user20,4,22,0,2,23,0
user20,4,23,1,2,34,0
user20,4,24,0,1,69,0
user21,4,0,1,2,36,0
user21,4,1,2,2,32,0
user21,4,2,0,2,29,0
user21,4,3,1,1,41,0
user21,4,4,1,0,26,0
user21,4,5,1,2,87,0
user21,4,6,1,1,39,0
user21,4,7,0,2,50,0
user21,4,8,1,1,26,0
user21,4,9,1,2,51,0
user21,4,10,1,1,32,0
user21,4,11,2,0,29,0
user21,4,12,0,2,50,0
user21,4,13,1,1,58,0
user21,4,14,1,0,32,0
user21,4,15,1,2,34,0
user21,4,16,2,0,35,0
user21,4,17,0,2,24,0
user21,4,18,1,0,53,0
user21,4,19,2,0,26,0
user21,4,20,1,2,22,0
user21,4,21,2,2,27,0
user21,4,22,0,2,26,0
user21,4,23,1,2,28,0
user21,4,24,2,0,38,0
user24,4,0,2,2,24,0
user24,4,1,2,2,22,0
user24,4,2,0,2,33,0
user24,4,3,2,2,18,0
user24,4,4,0,0,34,0
user24,4,5,2,2,21,0
user24,4,6,2,0,17,0
user24,4,7,2,2,12,0
user24,4,8,0,0,20,0
user24,4,9,2,2,17,0
user24,4,10,0,2,20,0
user24,4,11,0,0,18,0
user24,4,12,0,0,15,0
user24,4,13,2,2,27,0
user24,4,14,0,2,17,0
user24,4,15,1,0,17,0
user24,4,16,0,0,20,0
user24,4,17,0,0,29,0
user24,4,18,0,2,16,0
user24,4,19,1,1,18,0
user24,4,20,2,2,19,0
user24,4,21,2,0,21,0
user24,4,22,0,0,11,0
user24,4,23,2,2,16,0
user24,4,24,2,2,18,0
user27,4,0,0,1,17,0
user27,4,1,0,2,39,0
user27,4,2,0,2,10,0
user27,4,3,0,1,12,0
user27,4,4,1,1,21,0
user27,4,5,2,2,14,0
user27,4,6,2,2,21,0
user27,4,7,0,2,17,0
user27,4,8,0,2,9,0
user27,4,9,0,2,127,0
user27,4,10,1,2,29,0
user27,4,11,0,0,20,0
user27,4,12,0,1,26,0
user27,4,13,2,0,40,0
user27,4,14,2,0,22,0
user27,4,15,0,1,17,0
user27,4,16,0,0,13,0
user27,4,17,0,2,30,0
user27,4,18,0,0,18,0
user27,4,19,2,0,67,0
user27,4,20,0,2,23,0
user27,4,21,0,2,15,0
user27,4,22,0,2,16,0
user27,4,23,2,1,25,0
user27,4,24,0,1,51,0
user28,4,0,0,2,65,0
user28,4,1,2,2,18,0
user28,4,2,0,2,42,0
user28,4,3,2,2,24,0
user28,4,4,1,0,70,0
user28,4,5,0,2,26,0
user28,4,6,2,2,120,0
user28,4,7,1,1,33,0
user28,4,8,0,0,24,0
user28,4,9,0,0,102,0
user28,4,10,0,1,31,0
user28,4,11,2,0,17,0
user28,4,12,0,2,49,0
user28,4,13,1,1,37,0
user28,4,14,2,0,39,0
user28,4,15,0,1,32,0
user28,4,16,0,0,18,0
user28,4,17,0,2,18,0
user28,4,18,0,0,18,0
user28,4,19,1,0,17,0
user28,4,20,1,2,39,0
user28,4,21,2,2,20,0
user28,4,22,0,2,23,0
user28,4,23,0,2,43,0
user28,4,24,2,0,22,0
user30,4,0,2,2,23,0
user30,4,1,1,0,26,0
user30,4,2,0,2,18,0
user30,4,3,2,2,16,0
user30,4,4,1,0,44,0
user30,4,5,1,2,23,0
user30,4,6,2,1,17,0
user30,4,7,0,2,81,0
user30,4,8,0,0,40,0
user30,4,9,0,2,12,0
user30,4,10,2,0,98,0
user30,4,11,1,0,25,0
user30,4,12,0,0,16,0
user30,4,13,2,1,25,0
user30,4,14,2,0,43,0
user30,4,15,0,0,35,0
user30,4,16,0,0,14,0
user30,4,17,0,0,15,0
user30,4,18,1,2,19,0
user30,4,19,1,0,26,0
user30,4,20,2,2,14,0
user30,4,21,2,2,16,0
user30,4,22,0,2,23,0
user30,4,23,1,1,35,0
user30,4,24,2,1,28,0
user31,4,0,0,2,23,0
user31,4,1,0,2,38,0
user31,4,2,0,2,20,0
user31,4,3,2,2,23,0
user31,4,4,0,0,20,0
user31,4,5,2,2,24,0
user31,4,6,2,1,38,0
user31,4,7,2,2,22,0
user31,4,8,0,0,27,0
user31,4,9,0,1,39,0
user31,4,10,0,2,32,0
user31,4,11,0,0,34,0
user31,4,12,0,0,37,0
user31,4,13,2,2,17,0
user31,4,14,2,0,22,0
user31,4,15,0,0,47,0
user31,4,16,0,0,18,0
user31,4,17,0,0,61,0
user31,4,18,2,0,37,0
user31,4,19,2,0,20,0
user31,4,20,2,2,26,0
user31,4,21,0,2,26,0
user31,4,22,0,0,34,0
user31,4,23,2,2,17,0
user31,4,24,2,0,41,0
user35,4,0,0,1,14,0
user35,4,1,2,1,15,0
user35,4,2,0,2,9,0
user35,4,3,2,1,15,0
user35,4,4,0,0,16,0
user35,4,5,1,2,10,0
user35,4,6,2,2,14,0
user35,4,7,0,2,12,0
user35,4,8,0,0,10,0
user35,4,9,0,2,19,0
user35,4,10,0,0,10,0
user35,4,11,1,0,21,0
user35,4,12,0,1,12,0
user35,4,13,2,1,12,0
user35,4,14,1,1,35,0
user35,4,15,0,0,8,0
user35,4,16,0,0,16,0
user35,4,17,0,1,9,0
user35,4,18,2,1,24,0
user35,4,19,2,0,12,0
user35,4,20,0,2,22,0
user35,4,21,2,2,18,0
user35,4,22,0,2,23,0
user35,4,23,2,1,38,0
user35,4,24,0,2,18,0
user36,4,0,1,2,103,0
user36,4,1,0,0,22,0
user36,4,2,0,1,25,0
user36,4,3,0,2,38,0
user36,4,4,1,2,27,0
user36,4,5,0,1,46,0
user36,4,6,2,2,19,0
user36,4,7,1,2,32,0
user36,4,8,0,1,27,0
user36,4,9,1,0,43,0
user36,4,10,0,0,23,0
user36,4,11,0,0,24,0
user36,4,12,0,0,18,0
user36,4,13,2,2,40,0
user36,4,14,2,2,38,0
user36,4,15,0,0,89,0
user36,4,16,0,0,30,0
user36,4,17,0,0,28,0
user36,4,18,2,2,24,0
user36,4,19,2,0,168,0
user36,4,20,1,1,135,0
user36,4,21,0,1,53,0
user36,4,22,0,1,22,0
user36,4,23,2,2,25,0
user36,4,24,0,2,23,0
user38,4,0,1,2,43,0
user38,4,1,1,2,98,0
user38,4,2,0,1,47,0
user38,4,3,2,2,88,0
user38,4,4,1,0,62,0
user38,4,5,1,2,71,0
user38,4,6,1,1,71,0
user38,4,7,1,2,58,0
user38,4,8,1,1,60,0
user38,4,9,2,1,85,0
user38,4,10,1,1,71,0
user38,4,11,1,0,57,0
user38,4,12,0,1,113,0
user38,4,13,0,0,55,0
user38,4,14,2,0,63,0
user38,4,15,0,0,63,0
user38,4,16,0,0,75,0
user38,4,17,0,1,65,0
user38,4,18,0,0,69,0
user38,4,19,1,0,61,0
user38,4,20,1,2,62,0
user38,4,21,2,2,80,0
user38,4,22,0,2,50,0
user38,4,23,2,2,48,0
user38,4,24,1,1,71,0
user39,4,0,0,2,11,0
user39,4,1,2,1,10,0
user39,4,2,0,2,12,0
user39,4,3,0,1,21,0
user39,4,4,0,1,22,0
user39,4,5,1,2,25,0
user39,4,6,0,1,12,0
user39,4,7,2,2,20,0
user39,4,8,0,1,18,0
user39,4,9,0,1,19,0
user39,4,10,0,2,14,0
user39,4,11,1,0,11,0
user39,4,12,0,1,14,0
user39,4,13,1,1,38,0
user39,4,14,0,1,17,0
user39,4,15,0,1,14,0
user39,4,16,0,0,14,0
user39,4,17,0,1,13,0
user39,4,18,0,0,16,0
user39,4,19,0,1,11,0
user39,4,20,0,2,12,0
user39,4,21,2,1,17,0
user39,4,22,0,2,14,0
user39,4,23,0,1,14,0
user39,4,24,0,1,12,0
user42,4,0,1,1,17,0
user42,4,1,0,1,17,0
user42,4,2,0,0,9,0
user42,4,3,2,1,14,0
user42,4,4,0,1,17,0
user42,4,5,2,2,17,0
user42,4,6,1,1,12,0
user42,4,7,1,1,8,0
user42,4,8,1,0,12,0
user42,4,9,0,2,16,0
user42,4,10,1,0,12,0
user42,4,11,0,0,18,0
user42,4,12,0,1,11,0
user42,4,13,0,0,11,0
user42,4,14,2,1,11,0
user42,4,15,0,0,10,0
user42,4,16,2,0,145,0
user42,4,17,0,1,11,0
user42,4,18,1,1,12,0
user42,4,19,1,1,15,0
user42,4,20,0,0,25,0
user42,4,21,0,0,11,0
user42,4,22,0,0,25,0
user42,4,23,1,2,14,0
user42,4,24,1,1,15,0
user43,4,0,1,2,23,0
user43,4,1,0,2,31,0
user43,4,2,0,2,51,0
user43,4,3,2,0,21,0
user43,4,4,2,0,20,0
user43,4,5,0,2,47,0
user43,4,6,0,2,23,0
user43,4,7,2,2,23,0
user43,4,8,0,0,30,0
user43,4,9,0,2,25,0
user43,4,10,2,0,73,0
user43,4,11,2,0,15,0
user43,4,12,0,0,27,0
user43,4,13,2,1,28,0
user43,4,14,2,0,17,0
user43,4,15,1,2,41,0
user43,4,16,2,0,47,0
user43,4,17,0,0,20,0
user43,4,18,2,0,43,0
user43,4,19,0,0,46,0
user43,4,20,1,1,33,0
user43,4,21,2,1,26,0
user43,4,22,0,2,15,0
user43,4,23,2,0,17,0
user43,4,24,0,1,31,0
user47,4,0,0,2,38,0
user47,4,1,2,1,18,0
user47,4,2,0,2,15,0
user47,4,3,1,1,14,0
user47,4,4,0,1,26,0
user47,4,5,0,2,15,0
user47,4,6,0,1,19,0
user47,4,7,0,1,14,0
user47,4,8,0,0,15,0
user47,4,9,0,1,13,0
user47,4,10,2,0,21,0
user47,4,11,2,1,18,0
user47,4,12,2,2,25,0
user47,4,13,2,2,24,0
user47,4,14,2,0,38,0
user47,4,15,0,0,18,0
user47,4,16,0,0,13,0
user47,4,17,0,0,16,0
user47,4,18,0,0,28,0
user47,4,19,2,0,22,0
user47,4,20,0,2,58,0
user47,4,21,2,2,30,0
user47,4,22,0,2,11,0
user47,4,23,0,2,37,0
user47,4,24,2,2,26,0
user49,4,0,0,1,66,0
user49,4,1,0,1,27,0
user49,4,2,0,2,58,0
user49,4,3,1,1,37,0
user49,4,4,1,0,26,0
user49,4,5,0,2,42,0
user49,4,6,2,2,74,0
user49,4,7,0,2,17,0
user49,4,8,1,1,31,0
user49,4,9,0,2,24,0
user49,4,10,0,1,36,0
user49,4,11,0,0,36,0
user49,4,12,0,1,75,0
user49,4,13,0,1,18,0
user49,4,14,2,0,49,0
user49,4,15,2,1,17,0
user49,4,16,0,0,16,0
user49,4,17,0,1,17,0
user49,4,18,1,0,59,0
user49,4,19,2,1,16,0
user49,4,20,2,1,51,0
user49,4,21,1,1,75,0
user49,4,22,0,0,16,0
user49,4,23,2,2,43,0
user49,4,24,1,0,74,0
user51,4,0,0,1,26,0
user51,4,1,1,2,24,0
user51,4,2,0,1,34,0
user51,4,3,2,2,30,0
user51,4,4,1,1,31,0
user51,4,5,2,2,27,0
user51,4,6,2,1,29,0
user51,4,7,1,2,72,0
user51,4,8,0,0,28,0
user51,4,9,0,1,30,0
user51,4,10,0,0,40,0
user51,4,11,2,0,47,0
user51,4,12,0,2,23,0
user51,4,13,2,0,22,0
user51,4,14,2,0,32,0
user51,4,15,0,0,32,0
user51,4,16,0,0,13,0
user51,4,17,0,2,21,0
user51,4,18,0,0,82,0
user51,4,19,1,1,21,0
user51,4,20,1,2,32,0
user51,4,21,0,2,34,0
user51,4,22,0,2,25,0
user51,4,23,2,2,26,0
user51,4,24,2,2,26,0
user52,4,0,2,2,19,0
user52,4,1,0,1,19,0
user52,4,2,0,0,10,0
user52,4,3,2,1,16,0
user52,4,4,0,0,33,0
user52,4,5,0,0,28,0
user52,4,6,0,0,19,0
user52,4,7,0,1,37,0
user52,4,8,0,1,19,0
user52,4,9,0,1,15,0
user52,4,10,0,1,14,0
user52,4,11,2,1,36,0
user52,4,12,0,0,13,0
user52,4,13,2,2,20,0
user52,4,14,2,1,12,0
user52,4,15,0,0,40,0
user52,4,16,2,2,17,0
user52,4,17,0,1,10,0
user52,4,18,2,2,17,0
user52,4,19,2,2,13,0
user52,4,20,0,0,49,0
user52,4,21,2,2,17,0
user52,4,22,0,0,18,0
user52,4,23,0,1,16,0
user52,4,24,0,1,13,0
user53,4,0,0,2,32,0
user53,4,1,2,2,37,0
user53,4,2,2,2,22,0
user53,4,3,1,1,21,0
user53,4,4,1,1,43,0
user53,4,5,1,2,21,0
user53,4,6,1,1,23,0
user53,4,7,1,1,30,0
user53,4,8,1,1,21,0
user53,4,9,1,1,30,0
user53,4,10,1,2,25,0
user53,4,11,1,0,25,0
user53,4,12,1,2,29,0
user53,4,13,1,1,21,0
user53,4,14,0,0,40,0
user53,4,15,0,0,23,0
user53,4,16,0,0,49,0
user53,4,17,2,2,29,0
user53,4,18,1,0,29,0
user53,4,19,1,0,23,0
user53,4,20,1,2,43,0
user53,4,21,1,2,24,0
user53,4,22,0,2,16,0
user53,4,23,1,2,17,0
user53,4,24,0,2,21,0
user55,4,0,0,0,22,0
user55,4,1,1,0,27,0
user55,4,2,0,2,34,0
user55,4,3,0,0,15,0
user55,4,4,0,0,70,0
user55,4,5,1,2,208,0
user55,4,6,0,0,90,0
user55,4,7,2,2,32,0
user55,4,8,0,0,23,0
user55,4,9,0,2,23,0
user55,4,10,2,0,138,0
user55,4,11,2,0,1748,0
user55,4,12,0,2,15,0
user55,4,13,2,2,63,0
user55,4,14,2,0,27,0
user55,4,15,0,0,22,0
user55,4,16,2,2,69,0
user55,4,17,0,1,21,0
user55,4,18,0,0,18,0
user55,4,19,2,2,17,0
user55,4,20,2,2,26,0
user55,4,21,2,2,15,0
user55,4,22,0,2,64,0
user55,4,23,0,2,31,0
user55,4,24,2,2,38,0
user56,4,0,0,2,19,0
user56,4,1,2,2,63,0
user56,4,2,0,2,10,0
user56,4,3,0,2,45,0
user56,4,4,0,0,44,0
user56,4,5,0,2,44,0
user56,4,6,0,2,21,0
user56,4,7,0,2,21,0
user56,4,8,0,0,12,0
user56,4,9,0,2,18,0
user56,4,10,2,2,26,0
user56,4,11,2,2,31,0
user56,4,12,0,2,27,0
user56,4,13,2,2,25,0
user56,4,14,2,0,20,0
user56,4,15,0,2,35,0
user56,4,16,2,0,27,0
user56,4,17,0,2,13,0
user56,4,18,0,0,22,0
user56,4,19,0,0,38,0
user56,4,20,0,2,20,0
user56,4,21,2,2,83,0
user56,4,22,0,2,61,0
user56,4,23,2,2,83,0
user56,4,24,0,2,52,0
user61,4,0,0,1,8,0
user61,4,1,0,1,56,0
user61,4,2,0,0,27,0
user61,4,3,0,0,20,0
user61,4,4,2,2,161,0
user61,4,5,1,2,29,0
user61,4,6,0,2,461,0
user61,4,7,0,1,107,0
user61,4,8,0,1,8,0
user61,4,9,0,1,13,0
user61,4,10,1,1,214,0
user61,4,11,2,0,7,0
user61,4,12,0,1,111,0
user61,4,13,2,1,8,0
user61,4,14,0,1,39,0
user61,4,15,1,1,62,0
user61,4,16,2,1,12,0
user61,4,17,0,0,11,0
user61,4,18,2,1,31,0
user61,4,19,0,2,26,0
user61,4,20,1,2,12,0
user61,4,21,0,2,68,0
user61,4,22,0,1,9,0
user61,4,23,0,1,16,0
user61,4,24,0,1,161,0
